Date,DELTA_LAST,DELTA_ASK,DELTA_BID,DELTA_MID,OP_LAST, OP_ASK, OP_BID,OP_MID, IVOL_LAST, IVOL_ASK, IVOL_BID, IVOL_MID,PX_LAST,PX_ASK,PX_BID,PX_MID
2024/8/8,#N/A N/A,0.133,0.123,0.128,#N/A N/A,10.45,8.75,9.6,#N/A N/A,32.613,31.567,32.097,630.35,630.75,630.07,630.41
2024/8/9,0.128,0.132,0.126,0.129,9.25,9.65,9,9.32,31.698,32.027,31.321,31.677,633.94,634.21,633.79,634
2024/8/12,#N/A N/A,0.129,0.12,0.125,#N/A N/A,9.35,8.45,8.9,#N/A N/A,32.09,31.07,31.587,633.14,633.49,633.24,633.365
2024/8/13,0.14,0.147,0.134,0.141,10.25,10.75,9.95,10.35,31.188,31.822,30.423,31.134,648.02,648.34,648.01,648.175
2024/8/14,0.15,0.165,0.154,0.16,11.3,12.65,11.9,12.28,31.131,31.76,30.576,31.175,661.68,661.68,661.17,661.425
2024/8/15,0.172,0.163,0.155,0.159,13.52,12.35,10.55,11.45,31.084,31.383,30.512,30.951,663.22,663.46,662.96,663.21
2024/8/16,0.177,0.178,0.173,0.175,14.1,14.2,13.7,13.95,31.047,31.34,30.791,31.067,674.07,674.17,674.16,674.165
2024/8/19,#N/A N/A,0.196,0.191,0.194,#N/A N/A,17.65,15.75,16.7,#N/A N/A,31.051,30.541,30.797,688.53,688.62,688.54,688.58
2024/8/20,0.239,0.229,0.214,0.222,22.01,21.45,19.2,20.33,31.901,32.57,31.024,31.804,698.54,698.8,698.33,698.565
2024/8/21,0.216,0.221,0.213,0.217,18.94,19.6,17.1,18.35,31.88,32.17,31.384,31.779,697.12,697.1,696.74,696.92
2024/8/22,#N/A N/A,0.205,0.194,0.2,#N/A N/A,18.85,15.6,17.23,#N/A N/A,32.167,30.994,31.585,688.96,689.34,688.9,689.12
2024/8/23,#N/A N/A,0.202,0.186,0.194,#N/A N/A,18,15.65,16.83,#N/A N/A,32.337,30.692,31.525,686.73,686.74,686.23,686.485
2024/8/26,0.197,0.197,0.188,0.193,16.32,17.15,16,16.58,31.56,31.8,30.899,31.353,688.44,688.83,688.33,688.58
2024/8/27,0.216,0.211,0.208,0.21,18.8,18.15,17.65,17.9,32.022,31.995,31.604,31.8,695.72,695.9,695.72,695.81
2024/8/28,#N/A N/A,0.192,0.187,0.189,#N/A N/A,15.7,14.35,15.02,#N/A N/A,32.026,31.566,31.797,683.84,683.65,683.57,683.61
2024/8/29,0.206,0.203,0.196,0.2,17.54,17.15,15.45,16.3,31.846,31.999,31.252,31.628,692.48,692.85,692.56,692.705
2024/8/30,#N/A N/A,0.213,0.208,0.21,#N/A N/A,19.2,17.2,18.2,#N/A N/A,31.595,31.14,31.368,701.35,701.43,700.9,701.165
2024/9/3,0.174,0.175,0.172,0.174,13.73,14.55,12.9,13.73,32.129,32.545,32.199,32.372,675.32,675.71,675.39,675.55
2024/9/4,0.184,0.183,0.179,0.181,14.95,15.55,13.15,14.35,32.347,32.449,32.077,32.263,679.68,679.63,679.52,679.575
2024/9/5,0.184,0.188,0.183,0.186,15,15.8,14.95,15.38,32.58,32.747,32.199,32.474,683.62,683.86,683.62,683.74
2024/9/6,#N/A N/A,0.17,0.156,0.163,#N/A N/A,13.35,12.05,12.7,#N/A N/A,33.829,32.275,33.063,665.77,666.23,665.93,666.08
2024/9/9,0.177,0.174,0.171,0.172,14.35,13.95,13.35,13.65,33.39,33.05,32.697,32.874,675.42,675.66,675.34,675.5
2024/9/10,0.168,0.171,0.168,0.169,13.16,13.4,12.5,12.95,33.063,32.914,32.555,32.735,673.62,673.56,673.29,673.425
2024/9/11,0.176,0.178,0.175,0.177,13.94,14.5,12.3,13.4,32.549,32.565,32.219,32.392,681.47,681.6,681.27,681.435
2024/9/12,0.177,0.186,0.179,0.182,13.93,16.1,13.1,14.6,32.309,32.613,31.9,32.259,686.8,686.87,686.81,686.84
2024/9/13,#N/A N/A,0.202,0.191,0.197,#N/A N/A,17.35,15.65,16.5,#N/A N/A,32.59,31.39,31.995,697.06,697,696.88,696.94
2024/9/16,#N/A N/A,0.193,0.19,0.191,#N/A N/A,16.25,14.6,15.43,#N/A N/A,32.047,31.721,31.884,696.5,696.5,696.31,696.405
2024/9/17,#N/A N/A,0.213,0.204,0.209,#N/A N/A,18.35,17.15,17.75,#N/A N/A,32.464,31.545,32.007,706.91,707.1,706.84,706.97
2024/9/18,#N/A N/A,0.187,0.17,0.179,#N/A N/A,14.35,13.45,13.9,#N/A N/A,33.128,31.319,32.237,690.47,690.48,690.34,690.41
2024/9/19,0.215,0.206,0.198,0.202,18,16.45,15.45,15.95,31.79,32.022,31.255,31.641,704.32,704.34,703.95,704.145
2024/9/20,0.19,0.189,0.178,0.183,15,15.6,14.35,14.98,32.203,32.156,31.051,31.609,701.03,701.1,701.02,701.06
2024/9/23,#N/A N/A,0.193,0.189,0.191,#N/A N/A,15,14.55,14.78,#N/A N/A,31.694,31.361,31.528,705.37,705.4,705.37,705.385
2024/9/24,#N/A N/A,0.223,0.214,0.219,#N/A N/A,19,18.05,18.52,#N/A N/A,32.135,31.228,31.684,722.26,722.41,722.38,722.395
2024/9/25,0.221,0.225,0.217,0.221,18.31,18.25,17.7,17.98,31.716,32.623,31.684,32.156,721.56,721.56,721.34,721.45
2024/9/26,#N/A N/A,0.201,0.189,0.195,#N/A N/A,16.2,15.55,15.88,#N/A N/A,32.132,30.809,31.477,711.43,711.28,711.09,711.185
2024/9/27,#N/A N/A,0.196,0.189,0.193,#N/A N/A,15.2,14.8,15,#N/A N/A,32.359,31.613,31.988,707.35,707.06,706.95,707.005
2024/9/30,0.193,0.198,0.19,0.194,15.14,17.3,14.7,16,32.367,32.616,31.721,32.172,709.27,709.56,709.27,709.415
2024/10/1,0.186,0.194,0.186,0.19,14.55,15.55,14.9,15.23,33.103,32.897,32.058,32.48,706.13,706.36,706.11,706.235
2024/10/2,#N/A N/A,0.206,0.202,0.204,#N/A N/A,16.45,15.65,16.05,#N/A N/A,33.129,32.693,32.911,711.09,711.09,710.9,710.995
2024/10/3,0.194,0.196,0.192,0.194,15.45,15.7,15.15,15.43,33.124,33.26,32.919,33.09,706.8,707.26,706.63,706.945
2024/10/4,#N/A N/A,0.216,0.214,0.215,#N/A N/A,17.75,16.8,17.27,#N/A N/A,32.956,32.709,32.833,719.7,719.6,719.32,719.46
2024/10/7,#N/A N/A,0.187,0.182,0.184,#N/A N/A,14.8,14.35,14.58,#N/A N/A,33.728,33.25,33.49,701.92,701.96,701.88,701.92
2024/10/8,0.223,0.226,0.222,0.224,18.67,18.5,18,18.25,33.296,33.386,32.904,33.146,721.76,721.86,721.67,721.765
2024/10/9,0.223,0.227,0.224,0.225,18.59,19.05,18.55,18.8,33.02,33.042,32.664,32.853,727.43,727.31,727.27,727.29
2024/10/10,0.232,0.236,0.231,0.234,19.58,19.55,18.85,19.2,33.07,33.362,32.858,33.11,730.29,730.37,730.26,730.315
2024/10/11,0.232,0.216,0.21,0.213,19.55,17.25,16.2,16.73,33.022,32.828,32.218,32.524,722.79,722.97,722.68,722.825
2024/10/14,#N/A N/A,0.194,0.188,0.191,#N/A N/A,14.55,13.9,14.23,#N/A N/A,32.631,31.928,32.282,713,712.99,712.78,712.885
2024/10/15,0.176,0.183,0.173,0.178,13,13,12.5,12.75,32.483,33.216,32.139,32.682,705.98,706.18,705.96,706.07
2024/10/16,0.166,0.168,0.159,0.164,11.9,12.35,11.75,12.05,32.419,32.476,31.414,31.95,702,702.06,701.87,701.965
2024/10/17,0.148,0.15,0.145,0.147,10.2,10.9,9.3,10.1,32.658,33.114,32.483,32.801,687.65,687.65,687.57,687.61
2024/10/18,0.25,0.27,0.258,0.264,19.15,20.75,20,20.38,28.5,30.567,29.237,29.906,763.89,764.07,763.89,763.98
2024/10/21,0.263,0.269,0.264,0.267,20.8,22.25,21.2,21.73,28.933,29.314,28.699,29.007,772.07,772.13,771.89,772.01
2024/10/22,0.256,0.254,0.247,0.25,20,19.45,18.8,19.13,28.999,29.196,28.457,28.828,764.24,764.15,764.13,764.14
2024/10/23,0.211,0.221,0.209,0.215,15.25,16.8,15.75,16.27,29.342,29.44,28.291,28.87,749.29,749.54,749.3,749.42
2024/10/24,0.225,0.231,0.225,0.228,16.6,17,16.6,16.8,29.15,29.486,28.897,29.192,754.55,754.55,754.54,754.545
2024/10/25,0.232,0.237,0.229,0.233,17.25,17.45,16.45,16.95,29.109,29.724,28.902,29.315,754.68,754.87,754.68,754.775
2024/10/28,0.211,0.221,0.214,0.217,15.02,15.25,14.9,15.08,29.157,29.635,28.913,29.276,749.12,749.6,749.31,749.455
2024/10/29,0.235,0.239,0.232,0.235,17.49,17.7,17.05,17.38,29.312,29.383,28.63,29.008,759.44,759.44,759.27,759.355
2024/10/30,0.23,0.224,0.221,0.222,16.95,16.6,14.85,15.73,29.336,29.441,29.118,29.28,753.74,754.14,753.73,753.935
2024/10/31,#N/A N/A,0.243,0.234,0.239,#N/A N/A,17.55,16.45,17,#N/A N/A,30.624,29.66,30.144,756.03,756.1,755.91,756.005
2024/11/1,#N/A N/A,0.23,0.227,0.228,#N/A N/A,16.8,15.9,16.35,#N/A N/A,29.946,29.626,29.786,756.1,756.16,755.78,755.97
2024/11/4,#N/A N/A,0.226,0.223,0.225,#N/A N/A,17.05,15.4,16.23,#N/A N/A,29.749,29.425,29.587,755.51,756,755.73,755.865
2024/11/5,0.241,0.24,0.238,0.239,18,19.2,17.2,18.2,29.613,29.587,29.344,29.466,763.91,764.1,763.87,763.985
2024/11/6,0.261,0.267,0.261,0.264,19.5,20.25,19.4,19.83,28.607,28.636,27.956,28.297,780.21,780.18,779.79,779.985
2024/11/7,0.3,0.309,0.302,0.306,23.6,24.6,23.95,24.28,28.318,28.845,28.012,28.43,796.54,796.78,796.49,796.635
2024/11/8,0.291,0.293,0.29,0.292,22.45,23.3,22.5,22.9,28.222,28.349,28.012,28.181,795.04,795.04,794.78,794.91
2024/11/11,0.32,0.323,0.32,0.322,26,26.8,26.2,26.5,28.606,28.689,28.339,28.514,805.44,805.45,805.31,805.38
2024/11/12,0.364,0.362,0.361,0.362,31.8,32,31.6,31.8,28.95,29.102,28.909,29.005,819.5,819.66,819.38,819.52
2024/11/13,0.408,0.4,0.396,0.398,38.5,36.85,36.15,36.5,29.526,29.852,29.19,29.522,830.47,831.23,830.81,831.02
2024/11/14,0.409,0.41,0.408,0.409,38.66,39.75,39.1,39.42,29.635,29.88,29.538,29.709,837.26,837.43,837.14,837.285
2024/11/15,0.376,0.37,0.368,0.369,34,34.7,33.25,33.98,29.992,29.834,29.502,29.668,823.96,823.95,823.8,823.875
2024/11/18,0.439,0.44,0.437,0.438,43.75,44.1,43.15,43.63,30.333,30.473,29.955,30.214,847.05,847.05,846.87,846.96
2024/11/19,0.511,0.513,0.512,0.513,58.45,57.85,56.85,57.35,31.524,31.758,31.384,31.571,871.32,871.61,871.31,871.46
2024/11/20,0.54,0.539,0.538,0.538,66.55,67.25,65.25,66.25,32.908,32.996,32.647,32.822,883.85,883.98,883.61,883.795
2024/11/21,0.57,0.571,0.571,0.571,74.86,75.65,73.9,74.78,33.738,33.871,33.497,33.684,897.48,897.56,897.48,897.52
2024/11/22,0.571,0.572,0.572,0.572,73.57,73.85,72.3,73.07,33.185,33.315,32.738,33.027,897.79,897.94,897.61,897.775
2024/11/25,0.49,0.495,0.493,0.494,53.3,53.25,50.65,51.95,31.676,32.081,31.258,31.67,865.59,865.63,865.39,865.51
2024/11/26,0.501,0.506,0.504,0.505,55.3,55.7,54.55,55.13,31.745,31.347,30.266,30.806,872.6,872.77,872.62,872.695
2024/11/27,0.519,0.518,0.516,0.517,58.7,58.1,57.4,57.75,31.848,32.231,31.405,31.818,877.34,877.53,877.31,877.42
2024/11/29,0.545,0.546,0.544,0.545,63.98,65.65,60.4,63.03,31.955,32.929,30.222,31.575,886.81,887.35,886.62,886.985
2024/12/2,0.565,0.569,0.569,0.569,67.65,68.6,67.35,67.97,31.767,31.791,31.299,31.545,897.74,897.82,897.61,897.715
2024/12/3,0.577,0.569,0.569,0.569,70.76,71.3,69.2,70.25,32.161,32.268,31.851,32.06,902.17,901.98,901.85,901.915
2024/12/4,0.603,0.606,0.606,0.606,77.3,76.95,73.5,75.22,32.552,32.271,32.271,32.271,911.06,911.1,910.86,910.98
2024/12/5,0.617,0.618,0.619,0.619,81.6,81.4,80.3,80.85,33.072,33.389,32.351,32.87,917.87,918.48,917.9,918.19
2024/12/6,0.651,0.649,0.65,0.649,92,92.6,90.55,91.57,33.744,33.546,33.057,33.302,934.74,934.82,934.38,934.6
2024/12/9,0.603,0.603,0.604,0.604,77.74,78.9,77.75,78.33,33.504,33.704,32.817,33.261,913.69,914.02,913.77,913.895
2024/12/10,0.594,0.606,0.606,0.606,76.95,79.15,77.45,78.3,34.327,34.074,33.641,33.857,913.35,913.62,913.53,913.575
2024/12/11,0.656,0.654,0.66,0.657,94.01,93.8,91.7,92.75,34.643,35.04,32.645,33.845,936.56,936.56,936.36,936.46
2024/12/12,0.629,0.632,0.633,0.633,85.95,86.55,84.15,85.35,34.775,34.725,34.143,34.434,925.55,925.86,925.55,925.705
2024/12/13,0.605,0.618,0.619,0.618,79.68,82.15,80.2,81.18,35.05,35.595,34.346,34.971,918.87,919.27,918.77,919.02
2024/12/16,0.623,0.624,0.627,0.626,84.44,84.05,82.05,83.05,35.39,37.348,35.247,36.298,921.08,921.47,921.12,921.295
2024/12/17,0.606,0.611,0.612,0.611,80.7,83.05,80.35,81.7,35.995,36.281,35.325,35.803,919.13,919.2,918.69,918.945
2024/12/18,0.544,0.55,0.549,0.55,67.3,67.8,63.4,65.6,37.25,37.555,35.72,36.637,889.55,889.37,889,889.185
2024/12/19,0.587,0.581,0.581,0.581,78.21,75.65,74.2,74.93,37.808,38.272,36.823,37.547,902.04,902.51,902.02,902.265
2024/12/20,0.594,0.584,0.584,0.584,77.45,78.6,73.85,76.22,36.731,38.223,37.22,37.721,909.05,909.48,909.05,909.265
2024/12/23,0.588,0.592,0.593,0.592,73.5,75.65,74.2,74.93,35.699,36.118,34.673,35.396,911.45,911.52,910.73,911.125
2024/12/24,0.645,0.639,0.64,0.639,89,88.65,86.9,87.78,36.291,36.956,35.921,36.438,932.12,932,931.66,931.83
2024/12/26,0.622,0.623,0.624,0.624,82,82.8,81.25,82.03,36.293,36.389,35.855,36.122,924.14,924.15,923.77,923.96
2024/12/27,0.581,0.58,0.58,0.58,71.5,72.8,71.15,71.97,36.389,36.613,35.843,36.228,907.55,908.1,907.57,907.835
2024/12/30,0.562,0.569,0.569,0.569,66.63,66.95,65.5,66.22,36.376,36.405,35.897,36.151,900.43,900.43,900.1,900.265
2024/12/31,0.535,0.547,0.546,0.546,59.7,61.5,60.35,60.93,36.253,36.618,35.895,36.256,891.32,891.76,891.22,891.49
2025/1/2,0.525,0.524,0.523,0.523,58.8,59.2,57.45,58.33,37.24,37.335,36.357,36.846,886.73,886.74,886.43,886.585
2025/1/3,0.517,0.517,0.516,0.516,56,55.15,51.95,53.55,36.73,36.2,35.613,35.906,881.05,880.41,879.96,880.185
2025/1/6,0.5,0.498,0.496,0.497,52,53.5,51.7,52.6,36.328,36.359,35.598,35.978,881.79,881.82,881.78,881.8
2025/1/7,0.498,0.497,0.496,0.496,50.95,53.35,51.5,52.43,36.208,36.853,36.34,36.596,879.19,879.13,879.06,879.095
2025/1/8,0.488,0.49,0.489,0.49,50.05,50.15,48.85,49.5,37.254,36.778,36.357,36.567,875,875.01,874.99,875
2025/1/10,0.382,0.375,0.372,0.373,33.45,33.6,32.1,32.85,37.592,37.459,36.734,37.097,837.69,837.66,837.53,837.595
2025/1/13,0.377,0.374,0.371,0.373,31.11,33.9,32.85,33.38,35.671,37.197,36.576,36.887,840.29,840.29,840.23,840.26
2025/1/14,0.346,0.348,0.345,0.346,27.71,29.35,27.9,28.63,36.74,37.618,37.196,37.407,828.4,828.64,828.24,828.44
2025/1/15,0.397,0.402,0.398,0.4,33.44,34.45,33.3,33.88,36.039,36.15,35.357,35.754,848.26,848,847.86,847.93
2025/1/16,0.383,0.397,0.394,0.395,32,31.45,30.3,30.88,37.049,36.543,35.993,36.268,842.37,842.28,842.26,842.27
2025/1/17,0.421,0.43,0.426,0.428,36,36.95,36.1,36.53,36.019,37.124,35.903,36.514,858.1,858.31,858.1,858.205
2025/1/21,0.46,0.454,0.451,0.452,41,42.2,39.6,40.9,35.847,36.584,35.515,36.049,869.68,871.92,871.74,871.83
2025/1/22,0.75,0.746,0.767,0.756,76.86,77.15,74.4,75.78,26.386,26.808,23.994,25.417,953.99,953.94,953.7,953.82
2025/1/23,0.833,0.824,0.836,0.83,102,102.75,101,101.88,27.028,26.746,25.336,26.049,984.86,984.66,984.5,984.58
2025/1/24,0.821,0.817,0.826,0.822,94.5,95.6,94.2,94.9,26.422,26.314,25.216,25.77,977.59,977.64,977.35,977.495
2025/1/27,0.811,0.794,0.803,0.798,88.9,91.3,88.6,89.95,26.049,26.987,25.901,26.448,971.89,971.89,971.69,971.79
2025/1/28,0.8,0.797,0.804,0.8,88.27,89.9,87.95,88.93,27.172,27.72,26.711,27.218,971.83,971.49,971.32,971.405
2025/1/29,0.852,0.816,0.835,0.825,92,96.75,92.15,94.45,24.134,27.184,24.979,26.1,978.15,978.04,977.86,977.95
2025/1/30,0.824,0.804,0.815,0.81,90.28,91.1,89.1,90.1,26.382,28.08,26.661,27.377,973.24,973.94,973.18,973.56
2025/1/31,0.817,0.829,0.842,0.835,91.49,93.15,91.65,92.4,27.745,27.119,25.605,26.371,976.76,976.71,976.22,976.465
2025/2/3,0.831,0.827,0.839,0.833,95.16,94.75,92.85,93.8,27.937,28.574,27.057,27.824,978.94,978.88,978.71,978.795
2025/2/4,0.86,0.845,0.878,0.86,105.2,108.55,106.7,107.63,28.269,30.489,26.223,28.442,994.87,994.82,994,994.41
2025/2/5,0.896,0.88,0.937,0.904,121.84,124,120.05,122.03,28.898,29.996,22.673,26.747,1011.11,1010.98,1010.44,1010.71
2025/2/6,0.911,0.909,0.929,0.919,125.4,126.7,124.1,125.4,28.371,28.136,25.379,26.823,1015.68,1015.67,1015.54,1015.605
